Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  unassigned      YES NVRAM  administratively down down    
Vlan2                  unassigned      YES unset  up                    up      
Vlan3                  unassigned      YES unset  up                    up      
Vlan4                  unassigned      YES unset  up                    up      
Vlan5                  unassigned      YES unset  up                    up      
Vlan6                  unassigned      YES unset  up                    up      
Vlan8                  unassigned      YES unset  up                    up      
Vlan9                  unassigned      YES unset  up                    up      
Vlan16                 unassigned      YES unset  up                    up      
Vlan17                 unassigned      YES unset  up                    up      
Vlan18                 unassigned      YES unset  up                    up      
Vlan19                 unassigned      YES unset  up                    up      
Vlan20                 unassigned      YES unset  up                    up      
Vlan31                 unassigned      YES unset  down                  down    
Vlan37                 unassigned      YES unset  up                    up      
Vlan38                 unassigned      YES unset  up                    up      
Vlan39                 unassigned      YES unset  up                    up      
Vlan41                 unassigned      YES unset  up                    up      
Vlan42                 unassigned      YES unset  up                    up      
Vlan43                 unassigned      YES unset  up                    up      
Vlan44                 unassigned      YES unset  up                    up      
Vlan45                 unassigned      YES unset  down                  down    
Vlan46                 unassigned      YES unset  up                    up      
Vlan47                 unassigned      YES unset  up                    up      
Vlan50                 unassigned      YES unset  up                    up      
Vlan52                 unassigned      YES unset  up                    up      
Vlan53                 unassigned      YES unset  up                    up      
Vlan99                 192.168.99.10   YES NVRAM  up                    up      
Vlan100                unassigned      YES unset  up                    up      
Vlan101                unassigned      YES unset  down                  down    
Vlan116                unassigned      YES unset  up                    up      
Vlan120                unassigned      YES unset  up                    up      
Vlan160                unassigned      YES unset  up                    up      
Vlan161                unassigned      YES unset  down                  down    
Vlan162                unassigned      YES unset  up                    up      
Vlan191                unassigned      YES unset  up                    up      
Vlan199                unassigned      YES unset  up                    up      
Vlan200                unassigned      YES unset  down                  down    
Vlan201                unassigned      YES unset  up                    up      
Vlan202                unassigned      YES unset  up                    up      
Vlan203                unassigned      YES unset  up                    up      
Vlan204                unassigned      YES unset  up                    up      
Vlan205                unassigned      YES unset  up                    up      
Vlan206                unassigned      YES unset  up                    up      
Vlan210                unassigned      YES unset  up                    up      
Vlan400                unassigned      YES unset  up                    up      
Vlan450                unassigned      YES unset  up                    up      
Vlan453                unassigned      YES unset  up                    up      
Vlan455                unassigned      YES unset  up                    up      
Vlan456                unassigned      YES unset  up                    up      
Vlan500                unassigned      YES unset  up                    up      
Vlan501                unassigned      YES unset  up                    up      
Vlan802                unassigned      YES unset  up                    up      
Vlan803                unassigned      YES unset  up                    up      
Vlan806                unassigned      YES unset  up                    up      
Vlan807                unassigned      YES unset  up                    up      
Vlan808                unassigned      YES unset  up                    up      
Vlan809                unassigned      YES unset  up                    up      
Vlan812                unassigned      YES unset  up                    up      
Vlan1601               unassigned      YES unset  up                    up      
Vlan1602               unassigned      YES unset  up                    up      
Vlan1603               unassigned      YES unset  up                    up      
Vlan2001               unassigned      YES unset  up                    up      
Vlan2003               unassigned      YES unset  up                    up      
Vlan2004               unassigned      YES unset  up                    up      
Vlan2008               unassigned      YES unset  up                    up      
Vlan2010               unassigned      YES unset  up                    up      
Vlan2101               unassigned      YES unset  up                    up      
Vlan2102               unassigned      YES unset  up                    up      
Vlan2103               unassigned      YES unset  up                    up      
Vlan2104               unassigned      YES unset  up                    up      
Vlan2201               unassigned      YES unset  up                    up      
Vlan2202               unassigned      YES unset  up                    up      
Vlan2203               unassigned      YES unset  up                    up      
Vlan2204               unassigned      YES unset  up                    up      
GigabitEthernet0/0     unassigned      YES NVRAM  down                  down    
GigabitEthernet1/0/1   unassigned      YES unset  down                  down    
GigabitEthernet1/0/2   unassigned      YES unset  down                  down    
GigabitEthernet1/0/3   unassigned      YES unset  down                  down    
GigabitEthernet1/0/4   unassigned      YES unset  up                    up      
GigabitEthernet1/0/5   unassigned      YES unset  up                    up      
